"index","operator","total_parts_checked","alert_count","alert_rate_percent"
"0","Op-4","17","4","23.53"
"1","Op-5","29","6","20.69"
"2","Op-2","21","4","19.05"
"3","Op-16","21","4","19.05"
"4","Op-13","17","3","17.65"
"5","Op-20","17","3","17.65"
"6","Op-14","31","5","16.13"
"7","Op-7","29","4","13.79"
"8","Op-1","22","3","13.64"
"9","Op-15","15","2","13.33"
"10","Op-8","16","2","12.5"
"11","Op-3","25","3","12"
"12","Op-19","17","2","11.76"
"13","Op-10","26","3","11.54"
"14","Op-17","19","2","10.53"
"15","Op-9","31","3","9.68"
"16","Op-11","12","1","8.33"
"17","Op-6","14","1","7.14"
"18","Op-12","16","1","6.25"
"19","Op-18","25","1","4"
